Designator(s),Type,MPN,Manufacturer,Description,Quantity,Unit,AWG,Color,Positions,Length (in),Terminals,Signal
FrontDtsch12-M.1_DCDC-F.1; FrontDtsch12-M.1_DCDC-F.1; Gnd.1_DashDisplay.2; Gnd.2_X114.1; Gnd.3_X61; Gnd.4_X61; Gnd.5_X61; GndCtrl.2_K18.85,wire,Unassigned,,"",8,ea,18 AWG,BK,,,,"FrontDtsch12-M.1_DCDC-F.1; Gnd.1_DashDisplay.2; Gnd.2_X114.1; Gnd.3_X61; Gnd.4_X61; Gnd.5_X61; GndCtrl.2_K18.85"
F13.OUT_F12.OUT; K12.87_F12.IN,wire,Unassigned,,"",2,ea,12 AWG,RD,,,,"F13.OUT_F12.OUT; K12.87_F12.IN"
BatCtrl.3_K19.86; BatCtrl.4_K20.86; EB2.+12v_DashDisplay.1,wire,Unassigned,,"",3,ea,18 AWG,RD,,,,"BatCtrl.3_K19.86; BatCtrl.4_K20.86; EB2.+12v_DashDisplay.1"
CDLSw.3_CtrlRelay.9; FrontDtsch12-F.1_RearDtsch12-F.1; FrontDtsch12-M.7_InDtsch12-F.5; Gnd.1_DashDisplay.2; Gnd.3_X61; Gnd.4_X61; Gnd.5_X61; HV+ Contactor.Coil-_InDtsch12-F.7; InDtsch12-M.1_X104.1; K12.85_X120.1; K19.85_X101.1; K20.85_X102.1; PBCtrl.6_PkBrk.2; PBCtrl.6_PkBrk.2; PBCtrl.6_PkBrk.2; Precharge Relay.Coil-_InDtsch12-F.6; RearDtsch12-M.1_PWR.Gnd; RearDtsch12-M.7_HV- Contactor.Coil-,wire,Unassigned,,"",18,ea,,BK,,,,"CDLSw.3_CtrlRelay.9; FrontDtsch12-F.1_RearDtsch12-F.1; FrontDtsch12-M.7_InDtsch12-F.5; Gnd.1_DashDisplay.2; Gnd.3_X61; Gnd.4_X61; Gnd.5_X61; HV+ Contactor.Coil-_InDtsch12-F.7; InDtsch12-M.1_X104.1; K12.85_X120.1; K19.85_X101.1; K20.85_X102.1; PBCtrl.6_PkBrk.2; Precharge Relay.Coil-_InDtsch12-F.6; RearDtsch12-M.1_PWR.Gnd; RearDtsch12-M.7_HV- Contactor.Coil-"
F13.OUT_F12.OUT; FrontDtsch12-F.2_RearDtsch12-F.2; FrontDtsch12-M.9_InDtsch12-F.9; HV+ Contactor.6_InDtsch12-F.8; PRNDL.3_ZombieDisplay.3; PRNDL.3_ZombieDisplay.3; PRNDL.3_ZombieDisplay.3; RearDtsch12-M.9_HV- Contactor.Wout,wire,Unassigned,,"",8,ea,,WH,,,,"F13.OUT_F12.OUT; FrontDtsch12-F.2_RearDtsch12-F.2; FrontDtsch12-M.9_InDtsch12-F.9; HV+ Contactor.6_InDtsch12-F.8; PRNDL.3_ZombieDisplay.3; RearDtsch12-M.9_HV- Contactor.Wout"
BMS-F.4_CanLO.2; CAN.2_CanLO.3; FrontDtsch12-F.3_RearDtsch12-F.3; FrontDtsch12-F.10_RearDtsch12-F.10; FrontDtsch12-M.5_CanLO.1; InDtsch12-F.3_CanLO.4; InDtsch12-M.3_X1.27; PBCtrl.7_DashDisplay.6; PBCtrl.7_DashDisplay.6; PRNDL.4_ZombieDisplay.4; PRNDL.4_ZombieDisplay.4; PRNDL.4_ZombieDisplay.4; Term.1_RearDtsch12-M.4; Term.2_RearDtsch12-M.5,wire,Unassigned,,"",14,ea,,GN,,,,"BMS-F.4_CanLO.2; CAN.2_CanLO.3; FrontDtsch12-F.10_RearDtsch12-F.10; FrontDtsch12-F.3_RearDtsch12-F.3; FrontDtsch12-M.5_CanLO.1; InDtsch12-F.3_CanLO.4; InDtsch12-M.3_X1.27; PBCtrl.7_DashDisplay.6; PRNDL.4_ZombieDisplay.4; Term.1_RearDtsch12-M.4; Term.2_RearDtsch12-M.5"
FrontDtsch12-F.4_RearDtsch12-F.4,wire,Unassigned,,"",1,ea,,WHBU,,,,"FrontDtsch12-F.4_RearDtsch12-F.4"
DashDisplay.9_MgRideL.Out+; DashDisplay.10_MgRideR.Out+; FrontDtsch12-F.5_RearDtsch12-F.5; MG1R.8_X1.29,wire,Unassigned,,"",4,ea,,BU,,,,"DashDisplay.10_MgRideR.Out+; DashDisplay.9_MgRideL.Out+; FrontDtsch12-F.5_RearDtsch12-F.5; MG1R.8_X1.29"
FrontDtsch12-F.6_RearDtsch12-F.6,wire,Unassigned,,"",1,ea,,WHBN,,,,"FrontDtsch12-F.6_RearDtsch12-F.6"
FrontDtsch12-F.7_RearDtsch12-F.7; PBCtrl.5_DashDisplay.5,wire,Unassigned,,"",2,ea,,BN,,,,"FrontDtsch12-F.7_RearDtsch12-F.7; PBCtrl.5_DashDisplay.5"
