Designator(s),Type,MPN,Manufacturer,Description,Quantity,Unit,AWG,Color,Positions,Length (in),Terminals,Signal
BatCtrl.3_K19.86; BatCtrl.4_K20.86; BatCtrl.5_K12.86,wire,Unassigned,,"",3,ea,18 AWG,RD,,,,"BatCtrl.3_K19.86; BatCtrl.4_K20.86; BatCtrl.5_K12.86"
DCDC-F.1_FrontDtsch12-M.1; DCDC-R.1_RearDtsch12-M.1; FrontDtsch12-F.1_RearDtsch12-F.1; K12.85_X103.1; K19.85_X101.1; K20.85_X102.1; PBCtrl.3_X98.1; PBCtrl.6_GrnLed.2,wire,Unassigned,,"",8,ea,,BK,,,,"DCDC-F.1_FrontDtsch12-M.1; DCDC-R.1_RearDtsch12-M.1; FrontDtsch12-F.1_RearDtsch12-F.1; K12.85_X103.1; K19.85_X101.1; K20.85_X102.1; PBCtrl.3_X98.1; PBCtrl.6_GrnLed.2"
FrontDtsch12-F.2_RearDtsch12-F.2,wire,Unassigned,,"",1,ea,,WH,,,,"FrontDtsch12-F.2_RearDtsch12-F.2"
BMS-F.4_CanLO.2; BMS-R.3_Term.1; BMS-R.4_Term.2; CAN1.2_CanLO.3; FrontDtsch12-F.3_RearDtsch12-F.3; FrontDtsch12-F.10_RearDtsch12-F.10; FrontDtsch12-M.5_CanLO.1; PBCtrl.7_GrnLed.1,wire,Unassigned,,"",8,ea,,GN,,,,"BMS-F.4_CanLO.2; BMS-R.3_Term.1; BMS-R.4_Term.2; CAN1.2_CanLO.3; FrontDtsch12-F.10_RearDtsch12-F.10; FrontDtsch12-F.3_RearDtsch12-F.3; FrontDtsch12-M.5_CanLO.1; PBCtrl.7_GrnLed.1"
FrontDtsch12-F.4_RearDtsch12-F.4,wire,Unassigned,,"",1,ea,,WHBU,,,,"FrontDtsch12-F.4_RearDtsch12-F.4"
FrontDtsch12-F.5_RearDtsch12-F.5,wire,Unassigned,,"",1,ea,,BU,,,,"FrontDtsch12-F.5_RearDtsch12-F.5"
FrontDtsch12-F.6_RearDtsch12-F.6,wire,Unassigned,,"",1,ea,,WHBN,,,,"FrontDtsch12-F.6_RearDtsch12-F.6"
FrontDtsch12-F.7_RearDtsch12-F.7; PBCtrl.5_PkBrk.1,wire,Unassigned,,"",2,ea,,BN,,,,"FrontDtsch12-F.7_RearDtsch12-F.7; PBCtrl.5_PkBrk.1"
FrontDtsch12-F.8_RearDtsch12-F.8,wire,Unassigned,,"",1,ea,,OG,,,,"FrontDtsch12-F.8_RearDtsch12-F.8"
FrontDtsch12-F.9_RearDtsch12-F.9,wire,Unassigned,,"",1,ea,,WHOG,,,,"FrontDtsch12-F.9_RearDtsch12-F.9"
